term,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],nobs,aic,bic,llf,converged,sigma2_resid,var_re_intercept
Intercept,66.3567147372483,1.337430055876575,49.61509160473962,0.0,63.73539999588882,68.97802947860778,,,,,,,
C(day_period)[T.dawn],1.7025640215991835,0.32033921889782013,5.314878482432265,1.0672852658894562e-07,1.0747106897237635,2.3304173534746035,,,,,,,
C(day_period)[T.morning],6.303710109533065,0.3117806152032788,20.21841577746291,6.741338386918416e-91,5.692631332656897,6.914788886409233,,,,,,,
C(day_period)[T.night],0.28634207685627544,0.32140935986427627,0.8908952650824826,0.3729853607153627,-0.34360869277177963,0.9162928464843305,,,,,,,
"Q(""alimentacao"")",-8.158825791795831,0.5438866599657319,-15.000966915257465,7.235749749796948e-51,-9.224824057000449,-7.092827526591213,,,,,,,
"Q(""aula_estudo"")",-7.988334521175267,0.3095574844941679,-25.805657822257462,7.660978182451828e-147,-8.595056041928652,-7.381613000421882,,,,,,,
"Q(""banheiro"")",7.517440505847867,3.9829715914564394,1.8873949595756445,0.05910722257095142,-0.28904036485293627,15.323921376548672,,,,,,,
"Q(""cafeina"")",-4.7044797208156375,0.5608018505993733,-8.38884485810378,4.909420613570523e-17,-5.803631150453821,-3.605328291177454,,,,,,,
"Q(""caminhada"")",-32.36354617116705,1.018234147564061,-31.783992167804346,1.0773290993550724e-221,-34.359248428221456,-30.367843914112647,,,,,,,
"Q(""casa"")",-18.082413301219695,0.7119161158519444,-25.399640348892248,2.5450437126004607e-142,-19.477743248303153,-16.687083354136238,,,,,,,
"Q(""conversa"")",-5.22396302688945,0.4372465961873807,-11.947406960832547,6.698267085289113e-33,-6.080950607779445,-4.366975445999455,,,,,,,
"Q(""corda"")",-55.01794298752642,6.032288545503911,-9.120575478527687,7.472646225590893e-20,-66.8410112810676,-43.19487469398524,,,,,,,
"Q(""digitacao"")",-11.490598687028323,0.8679264652809789,-13.239138506173335,5.214350528701442e-40,-13.191703300208195,-9.78949407384845,,,,,,,
"Q(""exercicio_leve"")",-49.15048109561302,4.924524724465401,-9.980756285257298,1.8505087204293617e-23,-58.80237219654224,-39.4985899946838,,,,,,,
"Q(""jogos"")",-5.450493320046778,0.4652946662598953,-11.714067912831709,1.0797214859236526e-31,-6.362454108114758,-4.538532531978799,,,,,,,
"Q(""leitura"")",-13.388206057863243,1.038804815344991,-12.888086250752478,5.253123757068858e-38,-15.424226082906207,-11.35218603282028,,,,,,,
"Q(""music"")",-12.791954226701748,0.5528090887531205,-23.139913013287156,1.8368361326625918e-118,-13.87544013098427,-11.708468322419225,,,,,,,
"Q(""onibus"")",-25.8233632201216,1.4404448627081297,-17.92735278431415,7.213333125091456e-72,-28.646583272745275,-23.000143167497924,,,,,,,
"Q(""projeto"")",-13.342113901220186,0.81891738903648,-16.292380745410988,1.1179134211574257e-59,-14.947162490045264,-11.737065312395108,,,,,,,
"Q(""prova"")",-8.562787859758837,0.9265292175732985,-9.24178935466914,2.4240895639283466e-20,-10.378751756826578,-6.746823962691096,,,,,,,
"Q(""teclado"")",-12.641996027787563,1.036131694294328,-12.20114788245868,3.0647280156657e-34,-14.672776831844912,-10.611215223730214,,,,,,,
"Q(""trem_metro"")",-24.02822352586366,0.7016415468516808,-34.24572509093872,5.049662606310877e-257,-25.403415687749927,-22.65303136397739,,,,,,,
"Q(""yoga"")",-7.585123439495579,1.9408895371716215,-3.9080654999815536,9.3038085922671e-05,-11.38919703032257,-3.7810498486685864,,,,,,,
Group Var,0.3306626780132912,0.0736765707944392,4.488030244185146,7.188472559507572e-06,0.18625925275177474,0.47506610327480764,,,,,,,
MODEL_INFO,--,--,--,--,--,--,24628.0,,,-101277.17303785207,True,217.09799476433466,71.78620434009036
